derived_type_va	base_type_va	derived	base
0x1405d6798	0x1405d5c70	CEm030Shl00	CShell
0x1405d67c0	0x1405d5c70	CEm030Shl01	CShell
0x1405d67e8	0x1405d5688	CEm031	CCom
0x1405d67e8	0x1405d56f8	CEm031	CComAction
0x1405d67e8	0x1405d5bd0	CEm031	CNonPlayer
0x1405d6808	0x1405d5bd0	CEm031Shl00	CNonPlayer
0x1405d6830	0x1405d5810	CDamageHaine2	CDamage
0x1405d6858	0x1405d5688	CEm032	CCom
0x1405d6858	0x1405d56f8	CEm032	CComAction
0x1405d6858	0x1405d5bd0	CEm032	CNonPlayer
0x1405d6878	0x1405d5c70	CEm032Shl00	CShell
0x1405d68a0	0x1405d5c70	CEm032Shl01	CShell
0x1405d68c8	0x1405d5688	CEm033	CCom
0x1405d68c8	0x1405d56f8	CEm033	CComAction
0x1405d68c8	0x1405d5bd0	CEm033	CNonPlayer
0x1405d68e8	0x1405d5688	CEm034	CCom
0x1405d68e8	0x1405d56d0	CEm034	IComAction
0x1405d68e8	0x1405d5bd0	CEm034	CNonPlayer
0x1405d6908	0x1405d5c70	CEm034Shl00	CShell
0x1405d6930	0x1405d5c70	CEm034Shl01	CShell
0x1405d6958	0x1405d5c70	CEm034Shl02	CShell
0x1405d6980	0x1405d5c70	CEm034Shl03	CShell
0x1405d69a8	0x1405d5c70	CEm034Shl04	CShell
0x1405d69d0	0x1405d5c70	CEm034Shl05	CShell
0x1405d69f8	0x1405d5688	CEm035	CCom
0x1405d69f8	0x1405d56d0	CEm035	IComAction
0x1405d69f8	0x1405d5bd0	CEm035	CNonPlayer
0x1405d6a18	0x1405d5c70	CEm035Shl00	CShell
0x1405d6a40	0x1405d5c70	CEm035Shl01	CShell
0x1405d6a68	0x1405d5c70	CEm035Shl02	CShell
0x1405d6a90	0x1405d5688	CEm037	CCom
0x1405d6a90	0x1405d56f8	CEm037	CComAction
0x1405d6a90	0x1405d5bd0	CEm037	CNonPlayer
0x1405d6ab0	0x1405d5688	CEm037Ball	CCom
0x1405d6ab0	0x1405d56d0	CEm037Ball	IComAction
0x1405d6ab0	0x1405d5bd0	CEm037Ball	CNonPlayer
0x1405d6ad8	0x1405d5c70	CEm037Shl00	CShell
0x1405d6b00	0x1405d5c70	CEm037Shl00Ctrl	CShell
0x1405d6b28	0x1405d5c70	CEm037Shl01	CShell
0x1405d6b50	0x1405d5c70	CEm037Shl01Ctrl	CShell
0x1405d6b78	0x1405d5c70	CEm037Shl02	CShell
0x1405d6ba0	0x1405d5c70	CEm037Shl02Ctrl	CShell
0x1405d6bc8	0x1405d5c70	CEm037Shl03	CShell
0x1405d6bf0	0x1405d5c70	CEm037Shl04	CShell
0x1405d6c18	0x1405d5c70	CEm037Shl04Ctrl	CShell
0x1405d6c40	0x1405d5c70	CEm037Shl05	CShell
0x1405d6c68	0x1405d5c70	CEm037Shl05Ctrl	CShell
0x1405d6c90	0x1405d5c70	CEm037Shl07	CShell
0x1405d6cb8	0x1405d5c70	CEm037ShlEffCtrl	CShell
0x1405d6ce0	0x1405d5c70	CEmShl000	CShell
0x1405d6d00	0x1405d5c70	CEmShl01	CShell
0x1405d6d98	0x1405d6d70	CFactoryEnemy	IFactoryEnemy
0x1405d6dc0	0x1405d5c70	CHeartShl00	CShell
0x1405d6de8	0x1405d5c70	CHeartShl01	CShell
0x1405d6e10	0x1405d5410	CHeartShl02	CWork
0x1405d6e58	0x1405d6e38	CHitMark	IHitMark
0x1405d6e78	0x1405d5410	CItem	CWork
0x1405d6eb8	0x1405d6e78	CItemKey	CItem
0x1405d6ed8	0x1405d6e78	CItemOrb	CItem
0x1405d6f20	0x1405d5410	CNonPlayerDeathEffect	CWork
0x1405d6f50	0x1405d5410	CNonPlayerDeathEffect2	CWork
0x1405d6fa8	0x1405d6f80	CPermitAttack	IPermitAttack
0x1405d6fd0	0x1405d5c70	CPl000Shl00	CShell
0x1405d6ff8	0x1405d5c70	CPl000Shl01	CShell
0x1405d7020	0x1405d5c70	CPl000Shl02	CShell
0x1405d7048	0x1405d5c70	CPl000Shl03	CShell
0x1405d7070	0x1405d5c70	CPl000Shl04	CShell
0x1405d7098	0x1405d5c70	CPl000Shl05	CShell
0x1405d70c0	0x1405d5c70	CPl000Shl06	CShell
0x1405d70e8	0x1405d5c70	CPl000Shl07	CShell
0x1405d7110	0x1405d5c70	CPl000Shl08	CShell
0x1405d7138	0x1405d5c70	CPl000Shl09	CShell
0x1405d7160	0x1405d5c70	CPl000Shl0a	CShell
0x1405d7188	0x1405d5c70	CPl000Shl0b	CShell
0x1405d71b0	0x1405d5c70	CPl000Shl0c	CShell
0x1405d71d8	0x1405d5c70	CPl000Shl0cICE	CShell
0x1405d7200	0x1405d5c70	CPl000Shl0d	CShell
0x1405d7228	0x1405d5c70	CPl000Shl0e	CShell
0x1405d7250	0x1405d5c70	CPl000Shl0f	CShell
0x1405d7278	0x1405d5c70	CPl000Shl10	CShell
0x1405d72a0	0x1405d5c70	CPl021Shl00	CShell
0x1405d72c8	0x1405d5c70	CPl021Shl01	CShell
0x1405d72f0	0x1405d5c70	CPl021Shl02	CShell
0x1405d7318	0x1405d5c70	CPl021Shl03	CShell
0x1405d7398	0x1405d73b8	CPlDante	CPlayer
0x1405d73b8	0x1405d5430	CPlayer	CActor
0x1405d73b8	0x1405d73d8	CPlayer	IPlayer
0x1405d73f8	0x1405d73b8	CPlVergil	CPlayer
