iat_slot_va	symbol
0x14034F3F8	VCRUNTIME140.dll!memmove
0x14034F408	XINPUT9_1_0.dll!XInputSetState
0x14034F410	XINPUT9_1_0.dll!XInputGetState
0x14034F420	api-ms-win-crt-convert-l1-1-0.dll!atoi
0x14034F428	api-ms-win-crt-convert-l1-1-0.dll!atof
0x14034F430	api-ms-win-crt-convert-l1-1-0.dll!mbstowcs
0x14034F440	api-ms-win-crt-heap-l1-1-0.dll!_aligned_free
0x14034F448	api-ms-win-crt-heap-l1-1-0.dll!realloc
0x14034F450	api-ms-win-crt-heap-l1-1-0.dll!malloc
0x14034F458	api-ms-win-crt-heap-l1-1-0.dll!calloc
0x14034F460	api-ms-win-crt-heap-l1-1-0.dll!_aligned_malloc
0x14034F468	api-ms-win-crt-heap-l1-1-0.dll!free
0x14034F470	api-ms-win-crt-heap-l1-1-0.dll!_callnewh
0x14034F478	api-ms-win-crt-heap-l1-1-0.dll!_set_new_mode
0x14034F488	api-ms-win-crt-locale-l1-1-0.dll!_configthreadlocale
0x14034F498	api-ms-win-crt-math-l1-1-0.dll!sqrtf
0x14034F4A0	api-ms-win-crt-math-l1-1-0.dll!_fdtest
0x14034F4A8	api-ms-win-crt-math-l1-1-0.dll!sinf
0x14034F4B0	api-ms-win-crt-math-l1-1-0.dll!cosf
0x14034F4B8	api-ms-win-crt-math-l1-1-0.dll!tanf
0x14034F4C0	api-ms-win-crt-math-l1-1-0.dll!acosf
0x14034F4C8	api-ms-win-crt-math-l1-1-0.dll!__setusermatherr
0x14034F4D0	api-ms-win-crt-math-l1-1-0.dll!fmodf
0x14034F4D8	api-ms-win-crt-math-l1-1-0.dll!powf
0x14034F4E0	api-ms-win-crt-math-l1-1-0.dll!pow
0x14034F4E8	api-ms-win-crt-math-l1-1-0.dll!atan2f
0x14034F4F8	api-ms-win-crt-runtime-l1-1-0.dll!_c_exit
0x14034F500	api-ms-win-crt-runtime-l1-1-0.dll!_register_thread_local_exe_atexit_callback
0x14034F508	api-ms-win-crt-runtime-l1-1-0.dll!_exit
0x14034F510	api-ms-win-crt-runtime-l1-1-0.dll!_invalid_parameter_noinfo_noreturn
0x14034F518	api-ms-win-crt-runtime-l1-1-0.dll!exit
0x14034F520	api-ms-win-crt-runtime-l1-1-0.dll!_initterm_e
0x14034F528	api-ms-win-crt-runtime-l1-1-0.dll!_initterm
0x14034F530	api-ms-win-crt-runtime-l1-1-0.dll!_get_narrow_winmain_command_line
0x14034F538	api-ms-win-crt-runtime-l1-1-0.dll!_set_app_type
0x14034F540	api-ms-win-crt-runtime-l1-1-0.dll!_seh_filter_exe
0x14034F548	api-ms-win-crt-runtime-l1-1-0.dll!terminate
0x14034F550	api-ms-win-crt-runtime-l1-1-0.dll!_cexit
0x14034F558	api-ms-win-crt-runtime-l1-1-0.dll!__p___argv
0x14034F560	api-ms-win-crt-runtime-l1-1-0.dll!__p___argc
0x14034F568	api-ms-win-crt-runtime-l1-1-0.dll!_configure_narrow_argv
0x14034F570	api-ms-win-crt-runtime-l1-1-0.dll!_crt_atexit
0x14034F578	api-ms-win-crt-runtime-l1-1-0.dll!_initialize_narrow_environment
0x14034F580	api-ms-win-crt-runtime-l1-1-0.dll!_initialize_onexit_table
0x14034F588	api-ms-win-crt-runtime-l1-1-0.dll!_register_onexit_function
0x14034F590	api-ms-win-crt-runtime-l1-1-0.dll!_invalid_parameter_noinfo
0x14034F598	api-ms-win-crt-runtime-l1-1-0.dll!_errno
0x14034F5A0	api-ms-win-crt-runtime-l1-1-0.dll!_beginthreadex
0x14034F5B0	api-ms-win-crt-stdio-l1-1-0.dll!__p__commode
0x14034F5B8	api-ms-win-crt-stdio-l1-1-0.dll!__stdio_common_vsprintf
0x14034F5C0	api-ms-win-crt-stdio-l1-1-0.dll!__acrt_iob_func
0x14034F5C8	api-ms-win-crt-stdio-l1-1-0.dll!__stdio_common_vswprintf
0x14034F5D0	api-ms-win-crt-stdio-l1-1-0.dll!_set_fmode
0x14034F5D8	api-ms-win-crt-stdio-l1-1-0.dll!__stdio_common_vfprintf
0x14034F5E8	api-ms-win-crt-string-l1-1-0.dll!strncpy
0x14034F5F0	api-ms-win-crt-string-l1-1-0.dll!_strupr
0x14034F5F8	api-ms-win-crt-string-l1-1-0.dll!_stricmp
0x14034F600	api-ms-win-crt-string-l1-1-0.dll!strcmp
0x14034F608	api-ms-win-crt-string-l1-1-0.dll!strnlen
0x14034F610	api-ms-win-crt-string-l1-1-0.dll!_strdup
0x14034F618	api-ms-win-crt-string-l1-1-0.dll!strncmp
0x14034F628	api-ms-win-crt-time-l1-1-0.dll!clock
0x14034F638	api-ms-win-crt-utility-l1-1-0.dll!qsort
0x14034F640	api-ms-win-crt-utility-l1-1-0.dll!bsearch
0x14034F650	d3d11.dll!D3D11CreateDeviceAndSwapChain
0x14034F660	dxgi.dll!CreateDXGIFactory
0x14034F670	fmod64.dll!FMOD_Sound_GetUserData
0x14034F678	fmod64.dll!FMOD_Channel_Stop
0x14034F680	fmod64.dll!FMOD_Channel_SetPaused
0x14034F688	fmod64.dll!FMOD_Channel_GetPaused
0x14034F690	fmod64.dll!FMOD_Sound_SetUserData
0x14034F698	fmod64.dll!FMOD_Sound_SetLoopCount
0x14034F6A0	fmod64.dll!FMOD_Memory_Initialize
0x14034F6A8	fmod64.dll!FMOD_Debug_Initialize
0x14034F6B0	fmod64.dll!FMOD_Channel_SetVolume
0x14034F6B8	fmod64.dll!FMOD_Channel_SetPan
0x14034F6C0	fmod64.dll!FMOD_Channel_SetFrequency
0x14034F6C8	fmod64.dll!FMOD_Channel_SetPriority
0x14034F6D0	fmod64.dll!FMOD_Channel_SetChannelGroup
0x14034F6D8	fmod64.dll!FMOD_Channel_SetLoopPoints
0x14034F6E0	fmod64.dll!FMOD_ChannelGroup_Stop
0x14034F6E8	fmod64.dll!FMOD_ChannelGroup_SetVolume
0x14034F6F0	fmod64.dll!FMOD_ChannelGroup_AddGroup
0x14034F6F8	fmod64.dll!FMOD_System_LockDSP
0x14034F700	fmod64.dll!FMOD_System_UnlockDSP
0x14034F708	fmod64.dll!FMOD_System_SetSoftwareChannels
0x14034F710	fmod64.dll!FMOD_System_GetAdvancedSettings
0x14034F718	fmod64.dll!FMOD_Sound_GetOpenState
0x14034F720	fmod64.dll!FMOD_System_RegisterCodec
0x14034F728	fmod64.dll!FMOD_System_Update
0x14034F730	fmod64.dll!FMOD_System_SetStreamBufferSize
0x14034F738	fmod64.dll!FMOD_System_GetVersion
0x14034F740	fmod64.dll!FMOD_Sound_Release
0x14034F748	fmod64.dll!FMOD_System_SetReverbProperties
0x14034F750	fmod64.dll!FMOD_System_GetMasterChannelGroup
0x14034F758	fmod64.dll!FMOD_System_PlaySound
0x14034F760	fmod64.dll!FMOD_System_CreateChannelGroup
0x14034F768	fmod64.dll!FMOD_System_CreateStream
0x14034F770	fmod64.dll!FMOD_System_CreateSound
0x14034F780	fmodstudio64.dll!FMOD_Studio_System_Create
0x14034F788	fmodstudio64.dll!FMOD_Studio_System_Initialize
0x14034F790	fmodstudio64.dll!FMOD_Studio_System_GetLowLevelSystem
0x14034F7A0	ole32.dll!CoCreateInstance
0x14034F7A8	ole32.dll!CoTaskMemFree
0x14034F7B8	steam_api64.dll!SteamAPI_GetHSteamUser
0x14034F7C0	steam_api64.dll!SteamAPI_Init
0x14034F7C8	steam_api64.dll!SteamAPI_RestartAppIfNecessary
0x14034F7D0	steam_api64.dll!SteamInternal_ContextInit
0x14034F7D8	steam_api64.dll!SteamInternal_CreateInterface
0x14034F7E0	steam_api64.dll!SteamAPI_GetHSteamPipe
0x14034F7E8	steam_api64.dll!SteamAPI_Shutdown
